Place,Player,Alias,Character(s),Event Name,Year,Game Played,Top Character,Reasoning
7th,Hiroki Asano,Kichipa-mu,Zangief,EVO 2019[],2019,Street Fighter V: Arcade Edition[,Rashid,Notorious for his strength and prevalence in competitive tournaments.
1st,Nakano Sagat,Nakano Sagat,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
2nd,RenoMD,RenoMD,M. Bison,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
3rd,Logiclv,Logiclv,Balrog,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
4th,SilentScope88,SilentScope88,Cammy,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Ryo Yoshida,Bas,O. Sagat,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
5th,Fromo,Fromo,Blanka,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
7th,LordBBH,LordBBH,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo,Rashid,Notorious for his strength and prevalence in competitive tournaments.
1st,Masaki Kawano,Kawano,Kolin,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Derek Ruffin,iDom,Poison/Laura,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Tsunehiro Kanamori,Gachikun,Rashid,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Hajime Taniguchi,Tokido,Urien/Luke,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Daigo Umehara,Daigo Umehara,Guile,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Lin Li-wei,Oil King,Rashid/Seth,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Nathan Massol,Mister Crimson,Dhalsim,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,David Edwards,Justakid,Juri,EVO 2022[],2022,Street Fighter V: Champion Edition,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Brentt Franks,brenttiscool,Rufus,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,InsanelyKrazy,InsanelyKrazy,SethSagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,AutoDemon,AutoDemon,Akuma,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,BlockBuster Jon,BlockBuster Jon,Adon/Sagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,bjUnchained,bjUnchained,Sagat,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Cormano,Cormano,El Fuerte,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Luken,Luken,Evil Ryu,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Dominique McCowin,Ace Unlimited,Guy,EVO 2022[],2022,Ultra Street Fighter IV,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Hao Liu,Beesu,Yun,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Arlieth,Arlieth,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Face,Face,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Rakurai,Rakurai,Makoto/Ken,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,OG Dash,OG Dash,Oro,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,Greenjoker23,Greenjoker23,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VenenoFGC,VenenoFGC,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,John Choi,John Choi,Sakura,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,VERSION,VERSION,Cody/Charlie,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,Kayaman,Kayaman,Balrog/Blanka,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,SabreAZ,SabreAZ,Cody,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,EricTurbo,EricTurbo,O. Sakura,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DR. B GALAXY B,DR. B GALAXY B,Ryu,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VodkaGobalsky,VodkaGobalsky,Zangief,EVO 2022[],2022,Street Fighter Alpha 3,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,John Choi,John Choi,Ken,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,Veri7as,Veri7as,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,SlamTown,SlamTown,Birdie,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Porksoda,Porksoda,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Greenjoker23,Greenjoker23,Adon,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,SabreAZ,SabreAZ,Rolento,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,AiRiC,AiRiC,Ryu,EVO 2022[],2022,Street Fighter Alpha 2,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,x64,x64,E. Honda,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,Docj88,Docj88,Chun-Li/Dhalsim/Dee Jay,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,D.Owls,D.Owls,Fei Long/Dhalsim,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,TheNom7,TheNom7,Shin Akuma,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Rakurai,Rakurai,Ken,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,teamkhris,teamkhris,Chun-Li,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DaddyBlanka,DaddyBlanka,Blanka,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,DR.B GALAXY B,DR.B GALAXY B,Ryu,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,SuperrV,SuperrV,Balrog,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
2nd,John Choi,John Choi,O. Ryu,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
3rd,x64,x64,E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
4th,MegamanX,MegamanX,Ryu/Zangief,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Ryo Yoshida,D44BAS,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
5th,Myung,Myung,Vega,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,EricTurbo,EricTurbo,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
7th,VodkaGobalsky,VodkaGobalsky,Zangief/E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo,Chun-Li,Maintained popularity with fans in anticipation of Street Fighter 6.
1st,Amjad Al-Shalabi,AngryBird,Ken,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,Saul Leonardo Mena II,MenaRD,Blanka/Luke,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Victor Woodley,Punk,Cammy,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Hajime Taniguchi,Tokido,Ken,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Tatsuya Haitani,Haitani,Chun-Li,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Kakeru,Kakeru,JP,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Atsushi Fujimura,Fujimura,Ken,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Naoki Nemoto,Nemo,JP,EVO 2023[],2023,Street Fighter 6,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,Eli Curry,EliTheCurry,Laura,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,SilverRupee,SilverRupee,Ed,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,WeegeePlus1,WeegeePlus1,Rashid,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Lizardman,Lizardman,Rashid,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,GGND09,GGND09,Lucia/Alex,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Revilo,Revilo,Zeku,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Dodger,Dodger,Ed,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,DreamTR,DreamTR,Birdie,EVO 2023[],2023,Street Fighter V: Champion Edition,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,El Cubano Loco,El Cubano Loco,Vega,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,BlockbusterJon,BlockbusterJon,Adon/Rolento,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Kurokiba,Kurokiba,Dee Jay,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Flubendorp,Flubendorp,El Fuerte,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Kazuyuki Koji,KojiKOG,T. Hawk,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Hungbee,Hungbee,T. Hawk,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,JCampos,JCampos,Seth,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Cormano,Cormano,El Fuerte,EVO 2023[],2023,Ultra Street Fighter IV,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,Nozomu Umezono,Umezono,Chun-Li,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,Cookye,Cookye,Elena,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Hao Liu,Beesu,Yun,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Hung Han,Hungbee,Oro,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Maurya,Maurya,Dudley,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Chrisdat,Chrisdat,Chun-Li,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Francisco Javier P̩rez,Younghou,Necro,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,FM805,FM805,Ryu,EVO 2023[],2023,Street Fighter III: 3rd Strike,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,John Choi,ChoiBoy,Ken,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,Ryo Yoshida,BAS,Akuma,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Matthea Taylor,VickiViper,Sakura,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Greenjoker23,Greenjoker23,Rolento,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,SabreAZ,SabreAZ,Rolento,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,SlamTown,TTF Delux,Ryu,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Dr. B Galaxy B,Dr. B Galaxy B,Ryu,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,Papa Pummels,Papa Pummels,,EVO 2023[],2023,Street Fighter Alpha 2,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,John Choi,John Choi,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
2nd,Makiri,Makiri,Ken,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
3rd,Frank Punches,Frank Punches,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
4th,Steven Dawson,SilentScope,Cammy,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Enforcer,Enforcer,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
5th,Klimax,Klimax,Balrog,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,MariBlanka,MariBlanka,Blanka,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
7th,EricTurbo,EricTurbo,O. Sagat,EVO 2023[],2023,Super Street Fighter II Turbo,Juri,Striking design and updated playstyle led to increased popularity in Street Fighter 6.
1st,Victor Woodley,Punk,Cammy/Akuma,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
2nd,Adel Anouche,BigBird,Rashid,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
3rd,EndingWalker,EndingWalker,Ed,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
4th,Yusuke Momochi,Momochi,Ed,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
5th,Naoki Nemoto,Nemo,M. Bison/Blanka/JP,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
5th,Kuang Zhen,Zhen,Dee Jay,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Amjad Al-Shalabi,AngryBird,Ken,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Hajime Taniguchi,Tokido,Ken,EVO 2024[],2024,Street Fighter 6,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
1st,Brentt Franks,Brentt,Rufus,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
2nd,El Cubano Loco,El Cubano Loco,Vega,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
3rd,Sketch,Sketch,Rolento,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
4th,LDO,LDO,Blanka,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
5th,Pedro De La Rosa,Pedro De La Rosa,Akuma,EVO 2024[],202,Ultra Street Fighter IV4,,
5th,Terrence Mikell,Terrence,Chun-Li,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Px-LM3,Px-LM3,Juri,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Zohta,Zohta,Zangief,EVO 2024[],2024,Ultra Street Fighter IV,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
1st,Joe Egami,MOV,Elena/Chun-Li/Ken,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
2nd,Issei Suzuki,Issei,Yun,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
3rd,Henri Oung,Chi-Rithy,Chun-Li,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
4th,Hayao,Hayao,Hugo,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
5th,Franklin Nunez,FrankieBFG,Ken,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
5th,Resolve,Resolve,Urien,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Clairet Jocelyn,NiaBanH,Makoto,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
7th,Shirokuro,Shirokuro,Chun-Li,EVO 2024[],2024,Street Fighter III: 3rd Strike,Terry, Fan-favorite of the Fatal Fury Series and seemless playstyle helped pushed his popularity further.
