Place,Player,Alias,Character(s),Event Name,Year,Game Played
7th,Eduardo Pérez-Frangie,PR Balrog/Balrog,EVO 2015[],2015,Ultra Street Fighter IV
7th,Du Dang,NuckleDu,Guile/Decapre,EVO 2015[],2015,Ultra Street Fighter IV
1st,Shinya Onuki,Nuki,Chun-Li,EVO 2015[],2015,Super Street Fighter II Turbo
2nd,ElTrouble,ElTrouble,Dhalsim/Ken,EVO 2015[],2015,Super Street Fighter II Turbo
3rd,UltraCombo,UltraCombo,O. Sagat/Vega,EVO 2015[],2015,Super Street Fighter II Turbo
4th,Damien Dailidenas,Damdai,O. Ryu,EVO 2015[],2015,Super Street Fighter II Turbo
5th,DigitalInfamy,DigitalInfamy,Ryu/Balrog,EVO 2015[],2015,Super Street Fighter II Turbo
5th,Fromo,Fromo,Blanka,EVO 2015[],2015,Super Street Fighter II Turbo
7th,,Baby Nine,E. Honda,EVO 2015[],2015,Super Street Fighter II Turbo
7th,,Bab Munn3y,Balrog,EVO 2015[],2015,Super Street Fighter II Turbo
1st,Seon-wu Lee,Infiltration,Nash,EVO 2016[],2016,Street Fighter V
2nd,Keita Ai,Fuudo,R. Mika,EVO 2016[],2016,Street Fighter V
3rd,Atsushi Fujimura,Yukadon,Nash,EVO 2016[],2016,Street Fighter V
4th,Goichi Kishida,GO1,Chun-Li,EVO 2016[],2016,Street Fighter V
5th,Joe Ciaramelli,LI Joe,Nash,EVO 2016[],2016,Street Fighter V
5th,Joe Egami,MOV,Chun-Li,EVO 2016[],2016,Street Fighter V
7th,Hiroyuki Nagata,Eita,Ken,EVO 2016[],2016,Street Fighter V
7th,Naoki Nemoto,Nemo,Vega,EVO 2016[],2016,Street Fighter V
1st,Hajime Taniguchi,Tokido,Akuma,EVO 2017[],2017,Street Fighter V
2nd,Victor Woodley,Punk,Karin/Nash,EVO 2017[],2017,Street Fighter V
3rd,Ryota Inoue,Kazunoko,Cammy,EVO 2017[],2017,Street Fighter V
4th,Hiromiki Kumada,Itabashi Zangief,Zangief,EVO 2017[],2017,Street Fighter V
5th,Naoki Nakayama,moke,Rashid,EVO 2017[],2017,Street Fighter V
5th,Du Dang,NuckleDu,Guile,EVO 2017[],2017,Street Fighter V
7th,Joe Egami,MOV,Chun-Li,EVO 2017[],2017,Street Fighter V
7th,Ryan Ramirez,Filipino Champ,Dhalsim,EVO 2017[],2017,Street Fighter V
1st,Hao Liu,Beesu,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
2nd,Eric K,Eric K,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike
3rd,Henri Oung,Chi-Rithy,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike
4th,Cyrox,Cyrox,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
5th,FaceNC,FaceNC,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike
5th,,Shin,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike
7th,,NastyNate,Yun,EVO 2017[],2017.Street Fighter III: 3rd Strike
7th,KaraPalm,KaraPalm,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
1st,ElTrouble,ElTrouble,Dhalsim,EVO 2017[],2017,Super Street Fighter II Turbo
2nd,UltraCombo,UltraCombo,O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo
3rd,Myung,Myung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo
4th,DarknessITF,DarknessITF,Balrog/Vega,EVO 2017[],2017,Super Street Fighter II Turbo
5th,Ury Escarez Ferreira,URY,Balrog/O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo
5th,Bolo Yeung,Bolo Yeung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo
7th,Munny,Munny,Vega/Balrog,EVO 2017[],2017,Super Street Fighter II Turbo
7th,Catie Lanier,MissingPerson,O. Chun-Li,EVO 2017[],2017,Super Street Fighter II Turbo
1st,Benjamin Simon,Problem X,M. Bison/Abigail,EVO 2018[],2018,Street Fighter V
2nd,Hajime Taniguchi,Tokido,Akuma,EVO 2018[],2018,Street Fighter V
3rd,Keita Ai,Fuudo,R. Mika,EVO 2018[],2018,Street Fighter V
4th,Tsunehiro Kanamori,gachikun,Rashid,EVO 2018[],2018,Street Fighter V
5th,Olivier Hay,Luffy,R. Mika,EVO 2018[],2018,Street Fighter V
5th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2018[],2018,Street Fighter V
7th,Marcus Redmond,THE COOL KID93,Abigail,EVO 2018[],2018,Street Fighter V
7th,Cristopher Rodriguez,Caba,Guile,EVO 2018[],2018,Street Fighter V
1st,Bryant Huggins,Smug,Dudley,EVO 2018[],2018,Ultra Street Fighter IV
2nd,Lee Chung-gon,Poongko,Seth,EVO 2018[],2018,Ultra Street Fighter IV
3rd,Brentt Franks,Brenttiscool,Rufus,EVO 2018[],2018,Ultra Street Fighter IV
4th,Iansanity,Iansanity,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV
5th,Sanford Kelly,Sanford Kelly,Sagat,EVO 2018[],2018,Ultra Street Fighter IV
5th,Valentin Petit,Valmaster,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV
7th,CastBlanka,CastBlanka,Blanka,EVO 2018[],2018,Ultra Street Fighter IV
7th,Arrow,Arrow,E. Honda,EVO 2018[],2018,Ultra Street Fighter IV
1st,Ryan,Ryan,Ken,EVO 2018[],2018,Street Fighter III: 3rd Strike
2nd,FMJ,FMJ,,EVO 2018[],2018,Street Fighter III: 3rd Strike
3rd,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2018[],2018,Street Fighter III: 3rd Strike
4th,Hao Liu,Beesu,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike
5th,Cookye,Cookye,Elena,EVO 2018[],2018,Street Fighter III: 3rd Strike
5th,Hungbee,Hungbee,Oro,EVO 2018[],2018,Street Fighter III: 3rd Strike
7th,Mexi,Mexi,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike
7th,FaceTX,FaceTX,Dudley,EVO 2018[],2018,Street Fighter III: 3rd Strike
1st,RenoMD,RenoMD,M. Bison,EVO 2018[],2018,Super Street Fighter II Turbo
2nd,Tomo,Tomo,Ryu/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo
3rd,John Choi,John Choi,O. Sagat,EVO 2018[],2018,Super Street Fighter II Turbo
4th,KillerMiller,KillerMiller,E. Honda,EVO 2018[],2018,Super Street Fighter II Turbo
5th,SilentScope,SilentScope,Cammy,EVO 2018[],2018,Super Street Fighter II Turbo
5th,DigitalInfamy,DigitalInfamy,O. Sagat/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo
7th,Myung,Myung,Vega,EVO 2018[],2018,Super Street Fighter II Turbo
7th,Fromo,Fromo,Blanka,EVO 2018[],2018,Super Street Fighter II Turbo
1st,Masato Takahashi,Bonchan,Karin/Sagat,EVO 2019[],2019,Street Fighter V: Arcade Edition[
2nd,Adel Anouche,BigBird,Rashid,EVO 2019[],2019,Street Fighter V: Arcade Edition[
3rd,DC Coleman,Infexious,Zeku,EVO 2019[],2019,Street Fighter V: Arcade Edition[
4th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2019[],2019,Street Fighter V: Arcade Edition[
5th,Masahiro Tominaga,Machabo,Necalli,EVO 2019[],2019,Street Fighter V: Arcade Edition[
5th,Derek Ruffin,iDom,Laura,EVO 2019[],2019,Street Fighter V: Arcade Edition[
7th,Huang Chaozhou,Yang Mian,Zeku,EVO 2019[],2019,Street Fighter V: Arcade Edition[
7th,Hiroki Asano,Kichipa-mu,Zangief,EVO 2019[],2019,Street Fighter V: Arcade Edition[
1st,Nakano Sagat,Nakano Sagat,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo
2nd,RenoMD,RenoMD,M. Bison,EVO 2019[],2019,Super Street Fighter II Turbo
3rd,Logiclv,Logiclv,Balrog,EVO 2019[],2019,Super Street Fighter II Turbo
4th,SilentScope88,SilentScope88,Cammy,EVO 2019[],2019,Super Street Fighter II Turbo
5th,Ryo Yoshida,Bas,O. Sagat,EVO 2019[],2019,Super Street Fighter II Turbo
5th,Fromo,Fromo,Blanka,EVO 2019[],2019,Super Street Fighter II Turbo
7th,LordBBH,LordBBH,Chun-Li,EVO 2019[],2019,Super Street Fighter II Turbo
1st,Masaki Kawano,Kawano,Kolin,EVO 2022[],2022,Street Fighter V: Champion Edition
2nd,Derek Ruffin,iDom,Poison/Laura,EVO 2022[],2022,Street Fighter V: Champion Edition
3rd,Tsunehiro Kanamori,Gachikun,Rashid,EVO 2022[],2022,Street Fighter V: Champion Edition
4th,Hajime Taniguchi,Tokido,Urien/Luke,EVO 2022[],2022,Street Fighter V: Champion Edition
5th,Daigo Umehara,Daigo Umehara,Guile,EVO 2022[],2022,Street Fighter V: Champion Edition
5th,Lin Li-wei,Oil King,Rashid/Seth,EVO 2022[],2022,Street Fighter V: Champion Edition
7th,Nathan Massol,Mister Crimson,Dhalsim,EVO 2022[],2022,Street Fighter V: Champion Edition
7th,David Edwards,Justakid,Juri,EVO 2022[],2022,Street Fighter V: Champion Edition
1st,Brentt Franks,brenttiscool,Rufus,EVO 2022[],2022,Ultra Street Fighter IV
2nd,InsanelyKrazy,InsanelyKrazy,SethSagat,EVO 2022[],2022,Ultra Street Fighter IV
3rd,AutoDemon,AutoDemon,Akuma,EVO 2022[],2022,Ultra Street Fighter IV
4th,BlockBuster Jon,BlockBuster Jon,Adon/Sagat,EVO 2022[],2022,Ultra Street Fighter IV
5th,bjUnchained,bjUnchained,Sagat,EVO 2022[],2022,Ultra Street Fighter IV
5th,Cormano,Cormano,El Fuerte,EVO 2022[],2022,Ultra Street Fighter IV
7th,Luken,Luken,Evil Ryu,EVO 2022[],2022,Ultra Street Fighter IV
7th,Dominique McCowin,Ace Unlimited,Guy,EVO 2022[],2022,Ultra Street Fighter IV
1st,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2022[],2022,Street Fighter III: 3rd Strike
2nd,Hao Liu,Beesu,Yun,EVO 2022[],2022,Street Fighter III: 3rd Strike
3rd,Arlieth,Arlieth,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike
4th,Face,Face,Makoto,EVO 2022[],2022,Street Fighter III: 3rd Strike
5th,Rakurai,Rakurai,Makoto/Ken,EVO 2022[],2022,Street Fighter III: 3rd Strike
5th,OG Dash,OG Dash,Oro,EVO 2022[],2022,Street Fighter III: 3rd Strike
7th,Greenjoker23,Greenjoker23,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike
7th,VenenoFGC,VenenoFGC,Ryu,EVO 2022[],2022,Street Fighter III: 3rd Strike
1st,John Choi,John Choi,Sakura,EVO 2022[],2022,Street Fighter Alpha 3
2nd,VERSION,VERSION,Cody/Charlie,EVO 2022[],2022,Street Fighter Alpha 3
3rd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 3
4th,Kayaman,Kayaman,Balrog/Blanka,EVO 2022[],2022,Street Fighter Alpha 3
5th,SabreAZ,SabreAZ,Cody,EVO 2022[],2022,Street Fighter Alpha 3
5th,EricTurbo,EricTurbo,O. Sakura,EVO 2022[],2022,Street Fighter Alpha 3
7th,DR. B GALAXY B,DR. B GALAXY B,Ryu,EVO 2022[],2022,Street Fighter Alpha 3
7th,VodkaGobalsky,VodkaGobalsky,Zangief,EVO 2022[],2022,Street Fighter Alpha 3
1st,John Choi,John Choi,Ken,EVO 2022[],2022,Street Fighter Alpha 2
2nd,Ryo Yoshida,D44BAS,Akuma,EVO 2022[],2022,Street Fighter Alpha 2
3rd,Veri7as,Veri7as,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2
4th,SlamTown,SlamTown,Birdie,EVO 2022[],2022,Street Fighter Alpha 2
5th,Porksoda,Porksoda,Chun-Li,EVO 2022[],2022,Street Fighter Alpha 2
5th,Greenjoker23,Greenjoker23,Adon,EVO 2022[],2022,Street Fighter Alpha 2
7th,SabreAZ,SabreAZ,Rolento,EVO 2022[],2022,Street Fighter Alpha 2
7th,AiRiC,AiRiC,Ryu,EVO 2022[],2022,Street Fighter Alpha 2
1st,x64,x64,E. Honda,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
2nd,Docj88,Docj88,Chun-Li/Dhalsim/Dee Jay,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
3rd,D.Owls,D.Owls,Fei Long/Dhalsim,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
4th,TheNom7,TheNom7,Shin Akuma,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
5th,Rakurai,Rakurai,Ken,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
5th,teamkhris,teamkhris,Chun-Li,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
7th,DaddyBlanka,DaddyBlanka,Blanka,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
7th,DR.B GALAXY B,DR.B GALAXY B,Ryu,EVO 2022[],2022,Ultra Street Fighter II: The Final Challengers
1st,SuperrV,SuperrV,Balrog,EVO 2022[],2022,Super Street Fighter II Turbo
2nd,John Choi,John Choi,O. Ryu,EVO 2022[],2022,Super Street Fighter II Turbo
3rd,x64,x64,E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo
4th,MegamanX,MegamanX,Ryu/Zangief,EVO 2022[],2022,Super Street Fighter II Turbo
5th,Ryo Yoshida,D44BAS,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo
5th,Myung,Myung,Vega,EVO 2022[],2022,Super Street Fighter II Turbo
7th,EricTurbo,EricTurbo,O. Sagat,EVO 2022[],2022,Super Street Fighter II Turbo
7th,VodkaGobalsky,VodkaGobalsky,Zangief/E. Honda,EVO 2022[],2022,Super Street Fighter II Turbo
1st,Amjad Al-Shalabi,AngryBird,Ken,EVO 2023[],2023,Street Fighter 6
2nd,Saul Leonardo Mena II,MenaRD,Blanka/Luke,EVO 2023[],2023,Street Fighter 6
3rd,Victor Woodley,Punk,Cammy,EVO 2023[],2023,Street Fighter 6
4th,Hajime Taniguchi,Tokido,Ken,EVO 2023[],2023,Street Fighter 6
5th,Tatsuya Haitani,Haitani,Chun-Li,EVO 2023[],2023,Street Fighter 6
5th,Kakeru,Kakeru,JP,EVO 2023[],2023,Street Fighter 6
7th,Atsushi Fujimura,Fujimura,Ken,EVO 2023[],2023,Street Fighter 6
7th,Naoki Nemoto,Nemo,JP,EVO 2023[],2023,Street Fighter 6
1st,Eli Curry,EliTheCurry,Laura,EVO 2023[],2023,Street Fighter V: Champion Edition
2nd,SilverRupee,SilverRupee,Ed,EVO 2023[],2023,Street Fighter V: Champion Edition
3rd,WeegeePlus1,WeegeePlus1,Rashid,EVO 2023[],2023,Street Fighter V: Champion Edition
4th,Lizardman,Lizardman,Rashid,EVO 2023[],2023,Street Fighter V: Champion Edition
5th,GGND09,GGND09,Lucia/Alex,EVO 2023[],2023,Street Fighter V: Champion Edition
5th,Revilo,Revilo,Zeku,EVO 2023[],2023,Street Fighter V: Champion Edition
7th,Dodger,Dodger,Ed,EVO 2023[],2023,Street Fighter V: Champion Edition
7th,DreamTR,DreamTR,Birdie,EVO 2023[],2023,Street Fighter V: Champion Edition
1st,El Cubano Loco,El Cubano Loco,Vega,EVO 2023[],2023,Ultra Street Fighter IV
2nd,BlockbusterJon,BlockbusterJon,Adon/Rolento,EVO 2023[],2023,Ultra Street Fighter IV
3rd,Kurokiba,Kurokiba,Dee Jay,EVO 2023[],2023,Ultra Street Fighter IV
4th,Flubendorp,Flubendorp,El Fuerte,EVO 2023[],2023,Ultra Street Fighter IV
5th,Kazuyuki Koji,KojiKOG,T. Hawk,EVO 2023[],2023,Ultra Street Fighter IV
5th,Hungbee,Hungbee,T. Hawk,EVO 2023[],2023,Ultra Street Fighter IV
7th,JCampos,JCampos,Seth,EVO 2023[],2023,Ultra Street Fighter IV
7th,Cormano,Cormano,El Fuerte,EVO 2023[],2023,Ultra Street Fighter IV
1st,Nozomu Umezono,Umezono,Chun-Li,EVO 2023[],2023,Street Fighter III: 3rd Strike
2nd,Cookye,Cookye,Elena,EVO 2023[],2023,Street Fighter III: 3rd Strike
3rd,Hao Liu,Beesu,Yun,EVO 2023[],2023,Street Fighter III: 3rd Strike
4th,Hung Han,Hungbee,Oro,EVO 2023[],2023,Street Fighter III: 3rd Strike
5th,Maurya,Maurya,Dudley,EVO 2023[],2023,Street Fighter III: 3rd Strike
5th,Chrisdat,Chrisdat,Chun-Li,EVO 2023[],2023,Street Fighter III: 3rd Strike
7th,Francisco Javier Pérez,Younghou,Necro,EVO 2023[],2023,Street Fighter III: 3rd Strike
7th,FM805,FM805,Ryu,EVO 2023[],2023,Street Fighter III: 3rd Strike
1st,John Choi,ChoiBoy,Ken,EVO 2023[],2023,Street Fighter Alpha 2
2nd,Ryo Yoshida,BAS,Akuma,EVO 2023[],2023,Street Fighter Alpha 2
3rd,Matthea Taylor,VickiViper,Sakura,EVO 2023[],2023,Street Fighter Alpha 2
4th,Greenjoker23,Greenjoker23,Rolento,EVO 2023[],2023,Street Fighter Alpha 2
5th,SabreAZ,SabreAZ,Rolento,EVO 2023[],2023,Street Fighter Alpha 2
5th,SlamTown,TTF Delux,Ryu,EVO 2023[],2023,Street Fighter Alpha 2
7th,Dr. B Galaxy B,Dr. B Galaxy B,Ryu,EVO 2023[],2023,Street Fighter Alpha 2
7th,Papa Pummels,Papa Pummels,,EVO 2023[],2023,Street Fighter Alpha 2
1st,John Choi,John Choi,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo
2nd,Makiri,Makiri,Ken,EVO 2023[],2023,Super Street Fighter II Turbo
3rd,Frank Punches,Frank Punches,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo
4th,Steven Dawson,SilentScope,Cammy,EVO 2023[],2023,Super Street Fighter II Turbo
5th,Enforcer,Enforcer,Ryu,EVO 2023[],2023,Super Street Fighter II Turbo
5th,Klimax,Klimax,Balrog,EVO 2023[],2023,Super Street Fighter II Turbo
7th,MariBlanka,MariBlanka,Blanka,EVO 2023[],2023,Super Street Fighter II Turbo
7th,EricTurbo,EricTurbo,O. Sagat,EVO 2023[],2023,Super Street Fighter II Turbo
1st,Victor Woodley,Punk,Cammy/Akuma,EVO 2024[],2024,Street Fighter 6
2nd,Adel Anouche,BigBird,Rashid,EVO 2024[],2024,Street Fighter 6
3rd,EndingWalker,EndingWalker,Ed,EVO 2024[],2024,Street Fighter 6
4th,Yusuke Momochi,Momochi,Ed,EVO 2024[],2024,Street Fighter 6
5th,Naoki Nemoto,Nemo,M. Bison/Blanka/JP,EVO 2024[],2024,Street Fighter 6
5th,Kuang Zhen,Zhen,Dee Jay,EVO 2024[],2024,Street Fighter 6
7th,Amjad Al-Shalabi,AngryBird,Ken,EVO 2024[],2024,Street Fighter 6
7th,Hajime Taniguchi,Tokido,Ken,EVO 2024[],2024,Street Fighter 6
1st,Brentt Franks,Brentt,Rufus,EVO 2024[],2024,Ultra Street Fighter IV
2nd,El Cubano Loco,El Cubano Loco,Vega,EVO 2024[],2024,Ultra Street Fighter IV
3rd,Sketch,Sketch,Rolento,EVO 2024[],2024,Ultra Street Fighter IV
4th,LDO,LDO,Blanka,EVO 2024[],2024,Ultra Street Fighter IV
5th,Pedro De La Rosa,Pedro De La Rosa,Akuma,EVO 2024[],202,Ultra Street Fighter IV4
5th,Terrence Mikell,Terrence,Chun-Li,EVO 2024[],2024,Ultra Street Fighter IV
7th,Px-LM3,Px-LM3,Juri,EVO 2024[],2024,Ultra Street Fighter IV
7th,Zohta,Zohta,Zangief,EVO 2024[],2024,Ultra Street Fighter IV
1st,Joe Egami,MOV,Elena/Chun-Li/Ken,EVO 2024[],2024,Street Fighter III: 3rd Strike
2nd,Issei Suzuki,Issei,Yun,EVO 2024[],2024,Street Fighter III: 3rd Strike
3rd,Henri Oung,Chi-Rithy,Chun-Li,EVO 2024[],2024,Street Fighter III: 3rd Strike
4th,Hayao,Hayao,Hugo,EVO 2024[],2024,Street Fighter III: 3rd Strike
5th,Franklin Nunez,FrankieBFG,Ken,EVO 2024[],2024,Street Fighter III: 3rd Strike
5th,Resolve,Resolve,Urien,EVO 2024[],2024,Street Fighter III: 3rd Strike
7th,Clairet Jocelyn,NiaBanH,Makoto,EVO 2024[],2024,Street Fighter III: 3rd Strike
7th,Shirokuro,Shirokuro,Chun-Li,EVO 2024[],2024,Street Fighter III: 3rd Strike
